key,description,attached to,status,suggested key
humanities.performing-arts.electronic-game.audio-game,Study of games designed primarily around sound.,Technology|1,valid,
humanities.performing-arts.electronic-game.video-games,Study of interactive digital games and their cultures.,Technology|1,valid,
humanities.visual-arts,Study of creation of visual forms across media.,,valid,
humanities.visual-arts.animation,Visual arts animation studies animated visual media and techniques.,,valid,
humanities.visual-arts.applied-arts,Study of functional design oriented artistic practice.,,valid,
humanities.visual-arts.architecture,Study of design of buildings and built environments.,Mathematics|1,valid,
humanities.visual-arts.architecture.interior-architecture,Study of design of interior spaces and systems.,,valid,
humanities.visual-arts.architecture.landscape-architecture,Study of design of outdoor environments.,Geography|1,valid,
humanities.visual-arts.architecture.landscape-architecture.landscape-planning,Study of long term planning of land use and landscapes.,Geography|1,valid,
humanities.visual-arts.architecture.architectural-analytics,Study of performance and analysis of building systems.,Mathematics|1;History|1,valid,
humanities.visual-arts.architecture.historic-preservation,Study of conserving historic buildings and sites.,History|1,valid,
humanities.visual-arts.architecture.interior-design-interior-architecture,Interior design focuses on functional and aesthetic design of interiors.,,valid,
humanities.visual-arts.architecture.technical-drawing,Study of precise graphical representation for design.,Mathematics|1,valid,
humanities.visual-arts.art-director,Art direction studies visual leadership for creative productions.,,valid,
humanities.visual-arts.calligraphy,Study of artistic handwriting and lettering.,,valid,
humanities.visual-arts.craft,Study of skilled manual making of functional and decorative objects.,,valid,
humanities.visual-arts.fashion,Study of design production and culture of clothing.,,valid,
humanities.visual-arts.fine-arts,Study of traditional visual art forms and practices.,,valid,
humanities.visual-arts.fine-arts.graphic-arts,Study of visual communication through graphic media.,,valid,
humanities.visual-arts.fine-arts.graphic-arts.drawing,Study of techniques of creating images with lines and marks.,,valid,
humanities.visual-arts.fine-arts.graphic-arts.painting,Study of methods and materials of pictorial art.,,valid,
humanities.visual-arts.fine-arts.graphic-arts.photography,Study of image creation using light and cameras.,Physics|1,valid,
humanities.visual-arts.fine-arts.sculpture,Study of creating three dimensional artworks.,,valid,
humanities.visual-arts.textile-arts,Study of design and making of fabrics and fiber works.,,valid,
humanities.visual-arts.mixed-media,Study of art that combines multiple materials and media.,,valid,
humanities.visual-arts.printmaking,Study of techniques for producing printed artworks.,,valid,
humanities.visual-arts.studio-art,Study of hands on visual art practice and critique.,,valid,
humanities.visual-arts.culinary-arts,Study of the creative practice of cooking and food presentation.,Biology|1,valid,
humanities.visual-arts.culinary-arts.acquired-taste,Study of how preferences for flavors develop with experience.,,valid,
humanities.visual-arts.culinary-arts.aftertaste,Study of lingering flavor sensations after eating or drinking.,,valid,
humanities.visual-arts.culinary-arts.appetite,Study of desire for food and its influences.,Biology|1,valid,
humanities.visual-arts.culinary-arts.artisanal-food,Study of craft based production of foods.,,valid,
humanities.visual-arts.culinary-arts.cooking,Study of methods of preparing food with heat and technique.,,valid,
humanities.visual-arts.culinary-arts.cuisine,Study of regional and cultural food traditions.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.culinary-tourism,Study of travel motivated by food and dining experiences.,Geography|1,valid,
humanities.visual-arts.culinary-arts.delicacy,Study of foods considered rare or highly valued in cuisines.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.diet,Study of patterns of food intake and nutrition.,Biology|1,valid,
humanities.visual-arts.culinary-arts.flavor,"Study of flavor as a sensory attribute of food, including taste, aroma, and perception.",,valid,
humanities.visual-arts.culinary-arts.food-choice,Study of how people select foods and meals.,Psychology|1,valid,
humanities.visual-arts.culinary-arts.food-pairing,Study of combining ingredients based on flavor and texture.,Chemistry|1,valid,
humanities.visual-arts.culinary-arts.food-photography,Study of photographing food for visual communication.,Photography|1,valid,
humanities.visual-arts.culinary-arts.food-preparation,Study of methods for preparing ingredients and dishes.,,valid,
humanities.visual-arts.culinary-arts.food-presentation,Study of plating and visual presentation of food.,Visual arts|1,valid,
humanities.visual-arts.culinary-arts.food-safety,Study of practices that prevent foodborne illness.,Biology|0,valid,
humanities.visual-arts.culinary-arts.food-security,Study of reliable access to sufficient food for populations.,Economics|1,valid,
humanities.visual-arts.culinary-arts.food-studies,Study of food systems culture and society.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.gastronomy,Study of cuisine and the art of good eating.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.gourmet,Study of high quality cuisine and refined taste.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.palatability,Study of factors that make food appealing to eat.,Biology|1,valid,
humanities.visual-arts.culinary-arts.specialty-foods,Study of niche and distinctive food products.,Economics|1,valid,
humanities.visual-arts.culinary-arts.traditional-food,Study of customary dishes and culinary heritage.,Cultural studies|1,valid,
humanities.visual-arts.culinary-arts.cuisines,Study of regional and cultural cooking traditions.,Cultural studies|1,valid,
humanities.visual-arts.decorative-arts,Study of art focused on ornament and interior decoration.,,valid,
humanities.visual-arts.digital-art,Study of art created using digital technologies.,Technology|1,valid,
humanities.visual-arts.architecture-and-design,Study of built environment and design practice.,Mathematics|1,valid,
humanities.visual-arts.architecture-and-design.landscape-architecture-landscape-planning,Landscape planning studies long term planning of land use and landscapes.,Geography|1,valid,
humanities.visual-arts.architecture-and-design.landscape-design,Study of design of outdoor spaces and planting.,Geography|1,valid,
humanities.visual-arts.architecture-and-design.urban-planning-urban-design,Urban planning studies planning and design of cities and urban systems.,Geography|1,valid,
humanities.visual-arts.architecture-and-design.visual-communication,Study of conveying information through visual design.,Communication|1,valid,
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design,Study of visual communication through layout and typography.,Communication|1,valid,
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design.type-design,Study of creation of letterforms and typefaces.,Communication|1,valid,
humanities.visual-arts.architecture-and-design.industrial-design-product-design,Industrial design studies design of products for mass production.,Technology|1,valid,
humanities.visual-arts.architecture-and-design.user-experience-design,Study of designing usable and satisfying interactions.,Psychology|1,valid,
humanities.visual-arts.architecture-and-design.user-experience-design.interaction-design,Study of designing interactive systems and behaviors.,Technology|1,valid,
humanities.visual-arts.architecture-and-design.user-experience-design.user-interface-design,Study of visual and interactive interface design.,Technology|1,valid,
humanities.visual-arts.architecture-and-design.user-experience-design.user-experience-evaluation,Study of methods for assessing usability and experience.,Psychology|1,valid,
humanities.visual-arts.architecture-and-design.fashion-design,Study of design of clothing and accessories.,,valid,
humanities.visual-arts.architecture-and-design.textile-design,Study of design of fabrics and patterns.,,valid,
humanities.visual-arts.architecture-and-design.food-design,Study of design of food products and dining experiences.,Biology|1,valid,
humanities.history,Study of past events and their interpretation.,,valid,
humanities.history.prehistory,Study of human past before written records.,,valid,
humanities.history.ancient-history,Study of early civilizations and societies.,,valid,
humanities.history.ancient-history.ancient-egypt,Study of history and culture of ancient Egypt.,,valid,
humanities.history.ancient-history.carthage,Study of the history and culture of ancient Carthage.,,valid,
humanities.history.ancient-history.ancient-greek-history,Study of the history of ancient Greece.,,valid,
humanities.history.ancient-history.ancient-roman-history,Study of the history of ancient Rome.,,valid,
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-republic,Study of Roman politics and society before the empire.,,valid,
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-empire,Study of Roman history during the imperial period.,,valid,
humanities.history.ancient-history.ancient-chinese-history,Study of early Chinese civilizations and dynasties.,,valid,
humanities.history.ancient-history.ancient-middle-eastern-history,Study of early societies of the Middle East.,,valid,
humanities.history.ancient-history.assyrian-civilization,Study of the history and culture of Assyria.,,valid,
humanities.history.ancient-history.bronze-age-civilizations,Study of societies of the Bronze Age.,,valid,
humanities.history.ancient-history.biblical-history,Study of historical contexts of biblical texts and peoples.,,valid,
humanities.history.ancient-history.history-of-the-indus-valley-civilization,Study of early urban societies in South Asia.,,valid,
humanities.history.ancient-history.preclassic-maya,Study of early Maya civilization before the Classic period.,,valid,
humanities.history.ancient-history.history-of-mesopotamia,Study of early civilizations of Mesopotamia.,,valid,
humanities.history.ancient-history.the-stone-age,Study of early human prehistory and stone tool cultures.,,valid,
humanities.history.ancient-history.history-of-the-yangtze-civilization,Study of early cultures of the Yangtze basin.,,valid,
humanities.history.ancient-history.history-of-the-yellow-river-civilization,Study of early cultures of the Yellow River basin.,,valid,
humanities.history.modern-history,Study of global history from the early modern period to the present.,,valid,
humanities.history.asian-history,Study of historical developments across Asia.,,valid,
humanities.history.asian-history.chinese-history,Study of the history of China across dynasties and eras.,,valid,
humanities.history.asian-history.japanese-history,Study of the history of Japan and its societies.,,valid,
humanities.history.asian-history.korean-history,Study of the history of Korea across periods.,,valid,
humanities.history.asian-history.mongolian-history,Study of the history of Mongolia and the Mongol empire.,,valid,
humanities.history.asian-history.indian-history,Study of the history of the Indian subcontinent.,,valid,
humanities.history.asian-history.indonesian-history,Study of the history of Indonesia across periods.,,valid,
humanities.history.asian-history.turkish-history,Study of the history of Turkey and Turkish peoples.,,valid,
humanities.history.asian-history.iranian-history,Study of the history of Iran and Persian civilizations.,,valid,
humanities.history.asian-history.vietnamese-history,Study of the history of Vietnam and its societies.,,valid,
humanities.history.asian-history.philippine-history,Study of the history of the Philippines and its peoples.,,valid,
humanities.history.australian-history,Study of the history of Australia and its societies.,,valid,
humanities.history.european-history,Study of the historical development of Europe and its regions.,,valid,
humanities.history.european-history.british-history,Study of the history of Britain and the United Kingdom.,,valid,
humanities.history.european-history.french-history,Study of the history of France and its society.,,valid,
humanities.history.european-history.german-history,Study of the history of Germany and German speaking regions.,,valid,
humanities.history.european-history.dutch-history,Study of the history of the Netherlands and Dutch society.,,valid,
humanities.history.european-history.italian-history,Study of the history of Italy and its regions.,,valid,
humanities.history.european-history.spanish-history,Study of the history of Spain and its kingdoms.,,valid,
humanities.history.european-history.portuguese-history,Study of the history of Portugal and its empire.,,valid,
humanities.history.european-history.polish-history,Study of the history of Poland and Polish society.,,valid,
humanities.history.european-history.balkan-history,Study of the history of the Balkan region and its peoples.,,valid,
humanities.history.european-history.scandinavian-history,Study of the history of Scandinavia and Nordic societies.,,valid,
humanities.history.european-history.scandinavian-history.swedish-history,Study of the history of Sweden.,,valid,
humanities.history.european-history.scandinavian-history.norwegian-history,Study of the history of Norway.,,valid,
humanities.history.european-history.scandinavian-history.danish-history,Study of the history of Denmark.,,valid,
humanities.history.european-history.scandinavian-history.finnish-history,Study of the history of Finland.,,valid,
humanities.history.european-history.scandinavian-history.icelandic-history,Study of the history of Iceland.,,valid,
humanities.history.european-history.russian-history,Study of the history of Russia and its empire.,,valid,
humanities.history.african-history,Study of the history of Africa and its regions.,,valid,
humanities.history.african-history.south-african-history,Study of the history of South Africa and its peoples.,,valid,
humanities.history.african-history.egyptian-history,Study of the history of Egypt across ancient and modern periods.,,valid,
humanities.history.african-history.east-and-central-african-history,Study of the history of East and Central Africa.,,valid,
humanities.history.african-history.nigerian-history,Study of the history of Nigeria and its societies.,,valid,
humanities.history.pre-columbian-era-history,Study of the histories of the Americas before European contact.,,valid,
humanities.history.pan-american-history,Study of interconnected histories across the Americas.,,valid,
humanities.history.pan-american-history.north-american-history,Study of the history of North America.,,valid,
humanities.history.pan-american-history.north-american-history.american-history,Study of the history of the United States of America.,,valid,
humanities.history.pan-american-history.north-american-history.canadian-history,Study of the history of Canada.,,valid,
humanities.history.pan-american-history.north-american-history.mexican-history,Study of the history of Mexico.,,valid,
humanities.history.pan-american-history.north-american-history.cuban-history,Study of the history of Cuba.,,valid,
humanities.history.pan-american-history.south-american-history,Study of the history of South America.,,valid,
humanities.history.pan-american-history.south-american-history.brazilian-history,Study of the history of Brazil.,,valid,
humanities.history.pan-american-history.south-american-history.colombian-history,Study of the history of Colombia.,,valid,
humanities.history.pan-american-history.south-american-history.venezuelan-history,Study of the history of Venezuela.,,valid,
humanities.history.pan-american-history.south-american-history.peruvian-history,Study of the history of Peru.,,valid,
humanities.history.pan-american-history.south-american-history.argentine-history,Study of the history of Argentina.,,valid,
humanities.history.pan-american-history.pre-columbian-era,Study of civilizations and cultures of the Americas before European contact.,,valid,
humanities.history.pan-american-history.pre-columbian-era.mayan-history,Study of the history and civilization of the Maya.,,valid,
humanities.history.pan-american-history.pre-columbian-era.aztec-history,Study of the history and civilization of the Aztec.,,valid,
humanities.history.pan-american-history.pre-columbian-era.inca-history,Study of the history and civilization of the Inca.,,valid,
humanities.history.pan-american-history.pre-columbian-era.mississippian-culture-art-history,Study of the Mississippian culture and its art history.,,valid,
humanities.history.latin-american-history,Study of the history of Latin America across regions.,,valid,
humanities.history.jewish-history,Study of the history of Jewish peoples and cultures.,,valid,
humanities.history.cultural-history,Study of how culture shapes historical change and interpretation.,,valid,
humanities.history.ecclesiastical-history-of-the-catholic-church,Study of the history of the Catholic Church as an institution.,,valid,
humanities.history.economic-history,Study of economic systems and change over time.,History|1,valid,
humanities.history.environmental-history,Study of interactions between humans and environments over time.,,valid,
humanities.history.intellectual-history,Study of the development of ideas and intellectual movements in history.,,valid,
humanities.history.philosophical-history,Study of philosophy through its historical development.,Philosophy|1,valid,
humanities.history.philosophical-history.ancient-philosophy,Study of philosophical thought from the ancient world.,Philosophy|1;History|1,valid,
humanities.history.philosophical-history.contemporary-philosophy,Study of philosophical thought from the twentieth century onward.,Philosophy|1;History|1,valid,
humanities.history.philosophical-history.medieval-philosophy,Study of philosophical thought in the medieval period.,Philosophy|1;History|1,valid,
humanities.history.philosophical-history.medieval-philosophy.humanism,Study of humanism as a philosophical and cultural movement.,Philosophy|1;History|1,valid,
humanities.history.philosophical-history.medieval-philosophy.scholasticism,Study of scholastic method and medieval academic philosophy.,Philosophy|1;History|1,valid,
humanities.history.philosophical-history.modern-philosophy,Study of philosophical thought from the early modern period onward.,Philosophy|1;History|1,valid,
humanities.history.political-history,Study of political events institutions and movements over time.,History|1,valid,
humanities.history.political-history.history-of-political-thought,Study of the development of political ideas and theories.,Political science|1,valid,
humanities.history.public-history,Study of history as practiced in public settings and institutions.,,valid,
humanities.history.scientific-history,Study of the historical development of science.,Scientific thinking|1,valid,
humanities.history.technological-history,Study of the historical development of technology.,Technology|1,valid,
humanities.history.world-history,Study of global historical processes and connections.,,valid,
humanities.history.futurology,Study of forecasting and exploring possible futures.,,valid,
humanities.history.futurology.cashless-society,Study of societal and economic implications of cashless systems.,Economics|1,valid,
humanities.history.futurology.climate,Study of future climate scenarios and their societal implications.,Earth science|1,valid,
humanities.law,Study of systems of law and legal institutions.,,valid,
humanities.law.legal-management-academic-discipline,Study of legal practice management and administration.,,valid,
humanities.law.legal-management-academic-discipline.corporate-law,Study of laws governing corporations and corporate governance.,,valid,
humanities.law.legal-management-academic-discipline.mercantile-law,Study of commercial and trade law related to merchants.,,valid,
humanities.law.administrative-law,Study of legal rules governing public administration.,,valid,
humanities.law.canon-law,Study of internal laws of churches and religious institutions.,,valid,
humanities.law.comparative-law,Study of differences and similarities between legal systems.,,valid,
humanities.law.constitutional-law,Study of constitutional principles and structures of government.,,valid,
humanities.law.competition-law,Study of laws that regulate market competition and antitrust policy.,,valid,
humanities.law.criminal-law,Study of laws defining crimes and their penalties.,,valid,
humanities.law.criminal-law.criminal-procedure,Study of legal processes for investigating and prosecuting crimes.,,valid,
humanities.law.criminal-law.criminal-justice,Study of institutions and processes of criminal justice.,Law|1,valid,
humanities.law.criminal-law.criminal-justice.police-science,Study of policing methods and law enforcement practice.,Sociology|1;Law|1,valid,
humanities.law.criminal-law.criminal-justice.forensic-science,Study of applying science to legal investigations.,Biology|1,valid,
humanities.law.islamic-law,Study of legal systems derived from Islamic jurisprudence.,,valid,
humanities.law.jewish-law,Study of legal traditions derived from Jewish law.,,valid,
humanities.law.jurisprudence-philosophy-of-law,Study of legal theory and the philosophy of law.,Philosophy|1,valid,
humanities.law.civil-law,Study of civil legal rights and obligations between individuals.,,valid,
humanities.law.civil-law.admiralty-law,Study of laws governing maritime activities and navigation.,,valid,
humanities.law.civil-law.animal-law-animal-rights,Study of legal protections and rights related to animals.,Ethics|1,valid,
humanities.law.civil-law.common-law,Study of legal systems based on judicial precedent.,,valid,
humanities.law.civil-law.corporations,Study of laws governing corporate entities and governance.,,valid,
humanities.law.civil-law.civil-procedure,Study of rules for civil court proceedings.,,valid,
humanities.law.civil-law.contract-law,Study of legal principles governing contracts and agreements.,,valid,
humanities.law.civil-law.environmental-law,Study of laws regulating the environment and natural resources.,Earth science|1,valid,
humanities.law.civil-law.family-law,Study of legal issues related to family relationships and domestic matters.,,valid,
humanities.law.civil-law.federal-law,Study of laws enacted at the federal or national level.,,valid,
humanities.law.civil-law.international-law,Study of legal rules governing relations between states and nations.,,valid,
humanities.law.civil-law.international-law.public-international-law,Study of international law governing states and global institutions.,,valid,
humanities.law.civil-law.international-law.supranational-law,Study of legal systems above the nation state level.,,valid,
humanities.law.civil-law.labor-law,Study of laws regulating employment and labor relations.,,valid,
humanities.law.civil-law.paralegal-studies,Study of legal support work and procedures in law practice.,,valid,
humanities.law.civil-law.property-law,Study of legal rules governing property ownership and use.,,valid,
humanities.law.civil-law.tax-law,Study of laws governing taxation and public revenue.,Economics|1,valid,
humanities.law.civil-law.tort-law,Study of civil wrongs and liability for harm.,,valid,
humanities.law.law-enforcement,Study of institutions and practices that enforce laws.,Sociology|1;Law|1,valid,
humanities.law.procedural-law,Study of rules and procedures governing legal processes.,,valid,
humanities.law.substantive-law,Study of laws that define rights duties and legal relationships.,,valid,
humanities.philosophy,Study of fundamental questions about reality knowledge and values.,,valid,
humanities.philosophy.aesthetics-philosophy-of-art,Study of beauty art and aesthetic experience.,,valid,
humanities.philosophy.applied-philosophy,Study of applying philosophical methods to specific domains.,,valid,
humanities.philosophy.applied-philosophy.philosophy-of-economics,Study of philosophical foundations of economics.,Economics|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-education,Study of aims methods and ethics of education.,,valid,
humanities.philosophy.applied-philosophy.philosophy-of-engineering,Study of philosophical issues in engineering practice.,Technology|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-history,Study of philosophical questions about history and historical knowledge.,History|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-law,Study of the nature and justification of law.,Law|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-mathematics,Study of the foundations and meaning of mathematics.,Mathematics|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-music,Study of philosophical questions about music.,Music|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-psychology,Study of conceptual foundations of psychology.,Psychology|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-religion,Study of philosophical questions about religion.,Religious studies|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-physical-sciences,Study of philosophical foundations of the physical sciences.,Physics|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-physical-sciences.philosophy-of-biology,Study of philosophical issues in biology.,Biology|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-physical-sciences.philosophy-of-chemistry,Study of philosophical issues in chemistry.,Chemistry|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-physical-sciences.philosophy-of-physics,Study of philosophical issues in physics.,Physics|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-social-science,Study of philosophical foundations of social science.,Sociology|1,valid,
humanities.philosophy.applied-philosophy.philosophy-of-technology,Study of philosophical questions about technology.,Technology|1,valid,
humanities.philosophy.applied-philosophy.systems-philosophy,Study of philosophical views of systems and complexity.,Logic|1,valid,
humanities.philosophy.applied-philosophy.political-philosophy-and-social-philosophy,Study of political and social philosophical theories.,Political science|1,valid,
humanities.philosophy.applied-philosophy.political-philosophy-and-social-philosophy.anarchism,Study of anarchist political philosophy and theory.,Political science|1,valid,
humanities.philosophy.applied-philosophy.political-philosophy-and-social-philosophy.manosphere-schools-of-gender-dynamics,Study of gender dynamics ideologies in the manosphere.,Psychology|1,valid,
humanities.philosophy.applied-philosophy.political-philosophy-and-social-philosophy.libertarianism,Study of libertarian political philosophy and theory.,Political science|1,valid,
humanities.philosophy.applied-philosophy.political-philosophy-and-social-philosophy.marxism,Study of Marxist social and political theory.,Economics|1,valid,
humanities.philosophy.epistemology,Study of knowledge its sources and limits.,,valid,
humanities.philosophy.epistemology.justification,Study of how beliefs are justified and warranted.,,valid,
humanities.philosophy.epistemology.reasoning-errors,Study of reasoning errors and fallacies.,Logic|1,valid,
humanities.philosophy.ethics,Study of moral values and principles.,,valid,
humanities.philosophy.ethics.applied-ethics,Study of ethical issues in practical contexts.,,valid,
humanities.philosophy.ethics.applied-ethics.animal-rights,Study of moral status and rights of animals.,Biology|1,valid,
humanities.philosophy.ethics.applied-ethics.bioethics,Study of ethical issues in medicine and biology.,Biology|1,valid,
humanities.philosophy.ethics.applied-ethics.environmental-ethics,Study of ethical issues concerning the environment.,Earth science|1,valid,
humanities.philosophy.ethics.meta-ethics,Study of the nature and meaning of moral concepts.,,valid,
humanities.philosophy.ethics.moral-psychology-descriptive-ethics-value-theory,Study of moral psychology descriptive ethics and value theory.,Psychology|1,valid,
humanities.philosophy.ethics.normative-ethics,Study of principles for determining right and wrong action.,,valid,
humanities.philosophy.ethics.normative-ethics.virtue-ethics,Study of ethics centered on character and virtue.,Psychology|1,valid,
humanities.philosophy.meta-philosophy,Study of the nature methods and aims of philosophy.,,valid,
humanities.philosophy.metaphysics,Study of fundamental nature of reality and being.,,valid,
humanities.philosophy.metaphysics.philosophy-of-action,Study of agency intention and human action.,Psychology|1,valid,
humanities.philosophy.metaphysics.determinism-and-free-will,Study of determinism and the problem of free will.,,valid,
humanities.philosophy.metaphysics.ontology,Study of what exists and categories of being.,,valid,
humanities.philosophy.metaphysics.philosophy-of-mind,Study of mind consciousness and mental states.,Psychology|1,valid,
humanities.philosophy.metaphysics.philosophy-of-mind.philosophy-of-pain,Study of the nature and experience of pain.,Psychology|1,valid,
humanities.philosophy.metaphysics.philosophy-of-mind.philosophy-of-artificial-intelligence,Study of philosophical issues in artificial intelligence.,Computer science|1,valid,
humanities.philosophy.metaphysics.philosophy-of-mind.philosophy-of-perception,Study of perception and its relation to reality.,Psychology|1,valid,
humanities.philosophy.metaphysics.philosophy-of-space-and-time,Study of the nature of space and time.,,valid,
humanities.philosophy.metaphysics.teleology,Study of purpose and goal directedness in nature and action.,,valid,
humanities.philosophy.metaphysics.theism-and-atheism,Study of arguments for and against the existence of gods.,Religious studies|1,valid,
humanities.philosophy.philosophical-traditions-and-schools,Study of major philosophical schools and traditions.,,valid,
humanities.philosophy.philosophical-traditions-and-schools.african-philosophy,Study of philosophical traditions originating in Africa.,,valid,
humanities.philosophy.philosophical-traditions-and-schools.analytic-philosophy,Study of philosophy emphasizing clarity and logical analysis.,Logic|1,valid,
humanities.philosophy.philosophical-traditions-and-schools.aristotelianism,Study of philosophical system derived from Aristotle.,,valid,
humanities.philosophy.philosophical-traditions-and-schools.continental-philosophy,Study of European philosophical traditions outside analytic philosophy.,,valid,
humanities.philosophy.philosophical-traditions-and-schools.eastern-philosophy,Study of philosophical traditions of Asia.,,valid,
humanities.philosophy.philosophical-traditions-and-schools.feminist-philosophy,Study of philosophy from feminist perspectives and critiques.,Cultural studies|1,valid,
humanities.philosophy.philosophical-traditions-and-schools.islamic-philosophy,Study of philosophical traditions in Islamic cultures.,,valid,
