key,name,description,attached to,layer,type,url
humanities.performing-arts.television.television-studies,Television studies,Study of television content history and impact.,key:humanities.performing-arts.television|0,3,S,https://en.wikipedia.org/wiki/Television_studies
humanities.performing-arts.theatre,Theatre,Study of performance staging and dramatic literature.,Performing arts|0,2,S,https://en.wikipedia.org/wiki/Theatre
humanities.performing-arts.theatre.acting,Acting,Study of performance techniques and character portrayal.,Theatre|0,3,S,https://en.wikipedia.org/wiki/Acting
humanities.performing-arts.theatre.directing,Directing,Study of guiding theatrical production and interpretation.,Theatre|0,3,S,https://en.wikipedia.org/wiki/Theatre_director
humanities.performing-arts.theatre.dramaturgy,Dramaturgy,Study of dramatic structure theory and play analysis.,Theatre|0,3,S,https://en.wikipedia.org/wiki/Dramaturgy
humanities.performing-arts.theatre.history-of-theatre,History of theatre,Study of the development of theatrical forms and practices.,Theatre|0;History|1,3,S,https://en.wikipedia.org/wiki/History_of_theater
humanities.performing-arts.theatre.musical-theatre,Musical theatre,Study of staged works that combine drama music and song.,Theatre|0;Music|1,3,S,https://en.wikipedia.org/wiki/Musical_theatre
humanities.performing-arts.theatre.playwrighting,Playwrighting,Study of writing plays and dramatic scripts.,Theatre|0;Literature|1,3,S,https://en.wikipedia.org/wiki/Playwrighting
humanities.performing-arts.theatre.puppetry,Puppetry,Study of performance using puppets and object manipulation.,Theatre|0,3,S,https://en.wikipedia.org/wiki/Puppetry
humanities.performing-arts.theatre.scenography,Scenography,Study of visual and spatial design for stage productions.,Theatre|0;Visual arts|1,3,S,https://en.wikipedia.org/wiki/Scenography
humanities.performing-arts.theatre.stage-design,Stage design,Study of designing sets scenery and stage spaces.,Theatre|0;Visual arts|1,3,S,https://en.wikipedia.org/wiki/Scenic_design
humanities.performing-arts.theatre.ventriloquism,Ventriloquism,Study of performance using vocal illusion and puppets.,Theatre|0,3,S,https://en.wikipedia.org/wiki/Ventriloquism
humanities.performing-arts.film,Film (studies),Study of motion picture art industry and culture.,Performing arts|0;Communication|0,2,S,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.film-criticism,Film criticism,Study of and evaluates films and their cultural impact.,key:humanities.performing-arts.film|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Film_criticism
humanities.performing-arts.film.filmmaking,Filmmaking,Study of production of films from development to postproduction.,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Filmmaking
humanities.performing-arts.film.film-theory,Film theory,Study of principles and frameworks for understanding film.,key:humanities.performing-arts.film|0;Philosophy|1,3,S,https://en.wikipedia.org/wiki/Film_theory
humanities.performing-arts.film.film-studies,Film studies,Study of film history aesthetics and interpretation.,key:humanities.performing-arts.film|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Film_studies
humanities.performing-arts.film.live-action,Live action,Study of filmmaking with real actors and physical environments.,key:humanities.performing-arts.film|0,3,S,https://en.wikipedia.org/wiki/Live_action
humanities.performing-arts.oral-literature,Oral literature,Study of spoken narrative traditions and performance.,Performing arts|0;Literature|1,2,S,https://en.wikipedia.org/wiki/Oral_literature
humanities.performing-arts.oral-literature.public-speaking,Public speaking,Study of preparation and delivery of speeches.,Oral literature|0;Communication|0,3,S,https://en.wikipedia.org/wiki/Public_speaking
humanities.performing-arts.oral-literature.performance-poetry,Performance poetry,Study of poetry written for spoken performance.,Oral literature|0;Literature|0,3,S,https://en.wikipedia.org/wiki/Performance_poetry
humanities.performing-arts.oral-literature.spoken-word,Spoken word,Study of expressive spoken poetry and oral performance.,Oral literature|0;Literature|0,3,S,https://en.wikipedia.org/wiki/Spoken_word
humanities.performing-arts.oral-literature.storytelling,Storytelling,Study of narrative techniques for oral and performative contexts.,Oral literature|0,3,S,https://en.wikipedia.org/wiki/Storytelling
humanities.performing-arts.electronic-game,Electronic game,Study of interactive digital play and design.,Performing arts|0;Technology|1,2,S,https://en.wikipedia.org/wiki/Electronic_game
humanities.performing-arts.electronic-game.arcade-game,Arcade game,Study of coin operated electronic games and their design.,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Arcade_game
humanities.performing-arts.electronic-game.audio-game,Audio game,Study of games designed primarily around sound.,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Audio_game
humanities.performing-arts.electronic-game.video-games,video games,Study of interactive digital games and their cultures.,Electronic game|0,3,S,https://en.wikipedia.org/wiki/Video_game
humanities.visual-arts,Visual arts,Study of creation of visual forms across media.,,1,S0,https://en.wikipedia.org/wiki/Outline_of_the_visual_arts
humanities.visual-arts.animation,Animation,Visual arts animation studies animated visual media and techniques.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Animation
humanities.visual-arts.applied-arts,Applied arts,Study of functional design oriented artistic practice.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Applied_arts
humanities.visual-arts.architecture,Architecture,Study of design of buildings and built environments.,Visual arts|0;Mathematics|1,2,S,https://en.wikipedia.org/wiki/Architecture
humanities.visual-arts.architecture.interior-architecture,Interior architecture,Study of design of interior spaces and systems.,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Interior_architecture
humanities.visual-arts.architecture.landscape-architecture,Landscape architecture,Study of design of outdoor environments.,key:humanities.visual-arts.architecture|0;Geography|1,3,S,https://en.wikipedia.org/wiki/Landscape_architecture
humanities.visual-arts.architecture.landscape-architecture.landscape-planning,Landscape planning,Study of long term planning of land use and landscapes.,key:humanities.visual-arts.architecture.landscape-architecture|0,4,S,https://en.wikipedia.org/wiki/Landscape_planning
humanities.visual-arts.architecture.architectural-analytics,Architectural analytics,Study of performance and analysis of building systems.,key:humanities.visual-arts.architecture|0;History|1,3,S,https://en.wikipedia.org/wiki/Architectural_analytics
humanities.visual-arts.architecture.historic-preservation,Historic preservation,Study of conserving historic buildings and sites.,key:humanities.visual-arts.architecture|0;History|1,3,S,https://en.wikipedia.org/wiki/Historic_preservation
humanities.visual-arts.architecture.interior-design-interior-architecture,Interior design (interior architecture),Interior design focuses on functional and aesthetic design of interiors.,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Interior_design
humanities.visual-arts.architecture.technical-drawing,Technical drawing,Study of precise graphical representation for design.,key:humanities.visual-arts.architecture|0,3,S,https://en.wikipedia.org/wiki/Technical_drawing
humanities.visual-arts.art-director,Art director,Art direction studies visual leadership for creative productions.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Art_director
humanities.visual-arts.calligraphy,Calligraphy,Study of artistic handwriting and lettering.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Calligraphy
humanities.visual-arts.craft,Craft,Study of skilled manual making of functional and decorative objects.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Craft
humanities.visual-arts.fashion,Fashion,Study of design production and culture of clothing.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Fashion
humanities.visual-arts.fine-arts,Fine arts,Study of traditional visual art forms and practices.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Fine_arts
humanities.visual-arts.fine-arts.graphic-arts,Graphic arts,Study of visual communication through graphic media.,Fine arts|0,3,S,https://en.wikipedia.org/wiki/Graphic_arts
humanities.visual-arts.fine-arts.graphic-arts.drawing,Drawing,Study of techniques of creating images with lines and marks.,Graphic arts|0,4,S,https://en.wikipedia.org/wiki/Drawing
humanities.visual-arts.fine-arts.graphic-arts.painting,Painting,Study of methods and materials of pictorial art.,Graphic arts|0,4,S,https://en.wikipedia.org/wiki/Painting
humanities.visual-arts.fine-arts.graphic-arts.photography,Photography,Study of image creation using light and cameras.,Graphic arts|0;Physics|1,4,S,https://en.wikipedia.org/wiki/Photography
humanities.visual-arts.fine-arts.sculpture,Sculpture,Study of creating three dimensional artworks.,Fine arts|0,3,S,https://en.wikipedia.org/wiki/Sculpture
humanities.visual-arts.textile-arts,Textile arts,Study of design and making of fabrics and fiber works.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Textile_arts
humanities.visual-arts.mixed-media,Mixed media,Study of art that combines multiple materials and media.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Mixed_media
humanities.visual-arts.printmaking,Printmaking,Study of techniques for producing printed artworks.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Printmaking
humanities.visual-arts.studio-art,Studio art,Study of hands on visual art practice and critique.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Studio_art
humanities.visual-arts.culinary-arts,Culinary Arts,Study of the creative practice of cooking and food presentation.,Visual arts|0;Biology|1,2,S,https://en.wikipedia.org/wiki/Culinary_Arts
humanities.visual-arts.culinary-arts.acquired-taste,Acquired taste,Study of how preferences for flavors develop with experience.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Acquired_taste
humanities.visual-arts.culinary-arts.aftertaste,Aftertaste,Study of lingering flavor sensations after eating or drinking.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Aftertaste
humanities.visual-arts.culinary-arts.appetite,Appetite,Study of desire for food and its influences.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Appetite
humanities.visual-arts.culinary-arts.artisanal-food,Artisanal food,Study of craft based production of foods.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Artisanal_food
humanities.visual-arts.culinary-arts.cooking,Cooking,Study of methods of preparing food with heat and technique.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Cooking
humanities.visual-arts.culinary-arts.cuisine,Cuisine,Study of regional and cultural food traditions.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Cuisine
humanities.visual-arts.culinary-arts.culinary-tourism,Culinary tourism,Study of travel motivated by food and dining experiences.,Culinary Arts|0;Geography|1,3,S,https://en.wikipedia.org/wiki/Culinary_tourism
humanities.visual-arts.culinary-arts.delicacy,Delicacy,Study of foods considered rare or highly valued in cuisines.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Delicacy
humanities.visual-arts.culinary-arts.diet,Diet,Study of patterns of food intake and nutrition.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Diet_(nutrition)
humanities.visual-arts.culinary-arts.flavor,Flavor,"Study of flavor as a sensory attribute of food, including taste, aroma, and perception.",Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Flavor_(taste)
humanities.visual-arts.culinary-arts.food-choice,Food choice,Study of how people select foods and meals.,Culinary Arts|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/Food_choice
humanities.visual-arts.culinary-arts.food-pairing,Food pairing,Study of combining ingredients based on flavor and texture.,Culinary Arts|0;Chemistry|1,3,S,https://en.wikipedia.org/wiki/Food_pairing
humanities.visual-arts.culinary-arts.food-photography,Food photography,Study of photographing food for visual communication.,Culinary Arts|0;Photography|1,3,S,https://en.wikipedia.org/wiki/Food_photography
humanities.visual-arts.culinary-arts.food-preparation,Food preparation,Study of methods for preparing ingredients and dishes.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Outline_of_food_preparation
humanities.visual-arts.culinary-arts.food-presentation,Food presentation,Study of plating and visual presentation of food.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Food_presentation
humanities.visual-arts.culinary-arts.food-safety,Food safety,Study of practices that prevent foodborne illness.,Culinary Arts|0;Biology|0,3,S,https://en.wikipedia.org/wiki/Food_safety
humanities.visual-arts.culinary-arts.food-security,Food security,Study of reliable access to sufficient food for populations.,Culinary Arts|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Food_security
humanities.visual-arts.culinary-arts.food-studies,Food studies,Study of food systems culture and society.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Food_studies
humanities.visual-arts.culinary-arts.gastronomy,Gastronomy,Study of cuisine and the art of good eating.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Gastronomy
humanities.visual-arts.culinary-arts.gourmet,Gourmet,Study of high quality cuisine and refined taste.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Gourmet
humanities.visual-arts.culinary-arts.palatability,Palatability,Study of factors that make food appealing to eat.,Culinary Arts|0,3,S,https://en.wikipedia.org/wiki/Palatability
humanities.visual-arts.culinary-arts.specialty-foods,Specialty foods,Study of niche and distinctive food products.,Culinary Arts|0;Economics|1,3,S,https://en.wikipedia.org/wiki/Specialty_foods
humanities.visual-arts.culinary-arts.traditional-food,Traditional food,Study of customary dishes and culinary heritage.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Traditional_food
humanities.visual-arts.culinary-arts.cuisines,cuisines,Study of regional and cultural cooking traditions.,Culinary Arts|0;Cultural studies|1,3,S,https://en.wikipedia.org/wiki/Outline_of_cuisines
humanities.visual-arts.decorative-arts,Decorative arts,Study of art focused on ornament and interior decoration.,Visual arts|0,2,S,https://en.wikipedia.org/wiki/Decorative_arts
humanities.visual-arts.digital-art,Digital art,Study of art created using digital technologies.,Visual arts|0;Technology|1,2,S,https://en.wikipedia.org/wiki/Digital_art
humanities.visual-arts.architecture-and-design,Architecture and design,Study of built environment and design practice.,Visual arts|0;Mathematics|1,2,S,https://en.wikipedia.org/wiki/Architecture
humanities.visual-arts.architecture-and-design.landscape-architecture-landscape-planning,Landscape architecture (landscape planning),Landscape planning studies long term planning of land use and landscapes.,Architecture and design|0;Geography|1,3,S,https://en.wikipedia.org/wiki/Landscape_architecture
humanities.visual-arts.architecture-and-design.landscape-design,Landscape design,Study of design of outdoor spaces and planting.,Architecture and design|0;Geography|1,3,S,https://en.wikipedia.org/wiki/Landscape_design
humanities.visual-arts.architecture-and-design.urban-planning-urban-design,Urban planning (urban design),Urban planning studies planning and design of cities and urban systems.,Architecture and design|0;Geography|1,3,S,https://en.wikipedia.org/wiki/Urban_planning
humanities.visual-arts.architecture-and-design.visual-communication,Visual communication,Study of conveying information through visual design.,Architecture and design|0;Communication|1,3,S,https://en.wikipedia.org/wiki/Visual_communication
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design,Graphic design,Study of visual communication through layout and typography.,Visual communication|0,4,S,https://en.wikipedia.org/wiki/Graphic_design
humanities.visual-arts.architecture-and-design.visual-communication.graphic-design.type-design,Type design,Study of creation of letterforms and typefaces.,key:humanities.visual-arts.architecture-and-design.visual-communication.graphic-design|0,5,S,https://en.wikipedia.org/wiki/Type_design
humanities.visual-arts.architecture-and-design.industrial-design-product-design,Industrial design (product design),Industrial design studies design of products for mass production.,Architecture and design|0;Technology|1,3,S,https://en.wikipedia.org/wiki/Industrial_design
humanities.visual-arts.architecture-and-design.user-experience-design,User experience design,Study of designing usable and satisfying interactions.,Architecture and design|0;Psychology|1,3,S,https://en.wikipedia.org/wiki/User_experience_design
humanities.visual-arts.architecture-and-design.user-experience-design.interaction-design,Interaction design,Study of designing interactive systems and behaviors.,User experience design|0;Technology|1,4,S,https://en.wikipedia.org/wiki/Interaction_design
humanities.visual-arts.architecture-and-design.user-experience-design.user-interface-design,User interface design,Study of visual and interactive interface design.,User experience design|0;Technology|1,4,S,https://en.wikipedia.org/wiki/User_interface_design
humanities.visual-arts.architecture-and-design.user-experience-design.user-experience-evaluation,User experience evaluation,Study of methods for assessing usability and experience.,User experience design|0,4,S,https://en.wikipedia.org/wiki/User_experience_evaluation
humanities.visual-arts.architecture-and-design.fashion-design,Fashion design,Study of design of clothing and accessories.,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Fashion_design
humanities.visual-arts.architecture-and-design.textile-design,Textile design,Study of design of fabrics and patterns.,Architecture and design|0,3,S,https://en.wikipedia.org/wiki/Textile_design
humanities.visual-arts.architecture-and-design.food-design,Food design,Study of design of food products and dining experiences.,Architecture and design|0;Biology|1,3,S,https://en.wikipedia.org/wiki/Food_design
humanities.history,History,Study of past events and their interpretation.,,1,S0,https://en.wikipedia.org/wiki/Outline_of_history
humanities.history.prehistory,Prehistory,Study of human past before written records.,History|0,2,S,https://en.wikipedia.org/wiki/Prehistory
humanities.history.ancient-history,Ancient history,Study of early civilizations and societies.,History|0,2,S,https://en.wikipedia.org/wiki/Ancient_history
humanities.history.ancient-history.ancient-egypt,Ancient Egypt,Study of history and culture of ancient Egypt.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Egypt
humanities.history.ancient-history.carthage,Carthage,Study of the history and culture of ancient Carthage.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Carthage
humanities.history.ancient-history.ancient-greek-history,Ancient Greek history,Study of the history of ancient Greece.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Greece
humanities.history.ancient-history.ancient-roman-history,Ancient Roman history,Study of the history of ancient Rome.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Rome
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-republic,History of the Roman Republic,Study of Roman politics and society before the empire.,Ancient Roman history|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Constitution_of_the_Roman_Republic
humanities.history.ancient-history.ancient-roman-history.history-of-the-roman-empire,History of the Roman Empire,Study of Roman history during the imperial period.,Ancient Roman history|0,4,S,https://en.wikipedia.org/wiki/History_of_the_Roman_Empire
humanities.history.ancient-history.ancient-chinese-history,Ancient Chinese history,Study of early Chinese civilizations and dynasties.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_China
humanities.history.ancient-history.ancient-middle-eastern-history,Ancient Middle Eastern history,Study of early societies of the Middle East.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Ancient_Near_East
humanities.history.ancient-history.assyrian-civilization,Assyrian Civilization,Study of the history and culture of Assyria.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Assyria
humanities.history.ancient-history.bronze-age-civilizations,Bronze Age Civilizations,Study of societies of the Bronze Age.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Bronze_Age
humanities.history.ancient-history.biblical-history,Biblical history,Study of historical contexts of biblical texts and peoples.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Historicity_of_the_Bible
humanities.history.ancient-history.history-of-the-indus-valley-civilization,History of the Indus Valley Civilization,Study of early urban societies in South Asia.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Indus_Valley_Civilisation
humanities.history.ancient-history.preclassic-maya,Preclassic Maya,Study of early Maya civilization before the Classic period.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Preclassic_Maya
humanities.history.ancient-history.history-of-mesopotamia,History of Mesopotamia,Study of early civilizations of Mesopotamia.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/History_of_Mesopotamia
humanities.history.ancient-history.the-stone-age,The Stone Age,Study of early human prehistory and stone tool cultures.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/The_Stone_Age
humanities.history.ancient-history.history-of-the-yangtze-civilization,History of the Yangtze civilization,Study of early cultures of the Yangtze basin.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Yangtze_civilization
humanities.history.ancient-history.history-of-the-yellow-river-civilization,History of the Yellow River civilization,Study of early cultures of the Yellow River basin.,Ancient history|0,3,S,https://en.wikipedia.org/wiki/Yellow_River_civilization
humanities.history.modern-history,Modern history,Study of global history from the early modern period to the present.,History|0,2,S,https://en.wikipedia.org/wiki/Modern_history
humanities.history.asian-history,Asian history,Study of historical developments across Asia.,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Asia
humanities.history.asian-history.chinese-history,Chinese history,Study of the history of China across dynasties and eras.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_China
humanities.history.asian-history.japanese-history,Japanese history,Study of the history of Japan and its societies.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Japan
humanities.history.asian-history.korean-history,Korean history,Study of the history of Korea across periods.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Korea
humanities.history.asian-history.mongolian-history,Mongolian history,Study of the history of Mongolia and the Mongol empire.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Mongolia
humanities.history.asian-history.indian-history,Indian history,Study of the history of the Indian subcontinent.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_India
humanities.history.asian-history.indonesian-history,Indonesian history,Study of the history of Indonesia across periods.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Indonesia
humanities.history.asian-history.turkish-history,Turkish history,Study of the history of Turkey and Turkish peoples.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Turkey
humanities.history.asian-history.iranian-history,Iranian history,Study of the history of Iran and Persian civilizations.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Iran
humanities.history.asian-history.vietnamese-history,Vietnamese history,Study of the history of Vietnam and its societies.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_Vietnam
humanities.history.asian-history.philippine-history,Philippine history,Study of the history of the Philippines and its peoples.,Asian history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Philippines
humanities.history.australian-history,Australian history,Study of the history of Australia and its societies.,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Australia
humanities.history.european-history,European history,Study of the historical development of Europe and its regions.,History|0,2,S,https://en.wikipedia.org/wiki/History_of_Europe
humanities.history.european-history.british-history,British history,Study of the history of Britain and the United Kingdom.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_United_Kingdom
humanities.history.european-history.french-history,French history,Study of the history of France and its society.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_France
humanities.history.european-history.german-history,German history,Study of the history of Germany and German speaking regions.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Germany
humanities.history.european-history.dutch-history,Dutch history,Study of the history of the Netherlands and Dutch society.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Netherlands
humanities.history.european-history.italian-history,Italian history,Study of the history of Italy and its regions.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Italy
humanities.history.european-history.spanish-history,Spanish history,Study of the history of Spain and its kingdoms.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Spain
humanities.history.european-history.portuguese-history,Portuguese history,Study of the history of Portugal and its empire.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Portugal
humanities.history.european-history.polish-history,Polish history,Study of the history of Poland and Polish society.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Poland
humanities.history.european-history.balkan-history,Balkan history,Study of the history of the Balkan region and its peoples.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_the_Balkans
humanities.history.european-history.scandinavian-history,Scandinavian history,Study of the history of Scandinavia and Nordic societies.,European history|0,3,S,https://en.wikipedia.org/wiki/History_of_Scandinavia
humanities.history.european-history.scandinavian-history.swedish-history,Swedish history,Study of the history of Sweden.,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Sweden
humanities.history.european-history.scandinavian-history.norwegian-history,Norwegian history,Study of the history of Norway.,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Norway
humanities.history.european-history.scandinavian-history.danish-history,Danish history,Study of the history of Denmark.,Scandinavian history|0,4,S,https://en.wikipedia.org/wiki/History_of_Denmark
